gene_id,1BS,1DS,2BS,2DS,3BS,3DS
g21532,0,0,0,0,0,0
g21533,4,7,9,11,7,7
g21534,405,70,319,489,304,528
g21543,20,4,16,6,0,8
g21540,91,26,138,176,66,54
g21546,3,0,0,0,0,7
g21547,7,0,0,0,0,1
g21553,3,0,3,0,0,0
g21535,734,266,675,715,583,660
g21536,2548,1743,2215,2249,2291,2071
g21537,1127,374,1064,941,627,813
g21538,3153,2073,3000,3322,2132,3626
g21539,1216,546,1599,1312,1245,1145
g21554,10,11,2,11,0,13
g21555,1061,501,1207,761,984,944
g21556,165,124,215,279,222,234
g21557,195,131,249,267,185,179
g21574,1,2,17,50,3,15
g21577,2,0,0,5,0,0
g21582,3,0,2,0,0,0
g21581,145,49,96,73,52,113
g21583,232,72,203,511,189,240
g21588,108,14,384,410,265,407
g21590,8,1,9,12,11,19
g21591,12,0,0,11,11,11
g21592,143,0,261,439,252,332
g21593,18,9,6,0,5,3
g21594,4,0,0,0,0,2
g21559,0,2,7,1,12,2
g21563,0,0,0,2,0,0
g21566,0,0,0,0,0,1
g21567,0,0,0,0,0,0
g21568,0,0,0,0,0,0
g21558,12,46,14,4,14,13
g21560,2,12,26,4,12,18
g21562,11,1,1,2,4,3
g21564,74,0,0,794,0,783
g21565,9,0,0,12,0,0
g21573,3203,3314,915,3913,595,483
g21595,1411,778,1312,1743,1077,1844
g21602,2,0,0,0,0,0
g21598,0,0,2,0,0,0
g21600,0,0,0,0,0,0
g21596,2127,366,3132,1104,1820,2074
g21597,2,0,0,0,0,0
g21601,63,5,150,490,338,1296
g21607,4,8,2,0,2,0
g21608,84,9,8,6,10,41
g21603,1883,987,2017,1974,1332,1799
g21605,22,24,38,30,23,64
g21606,63,32,27,93,42,123
g21609,2657,1363,4559,2808,3446,4408
g21619,74,32,84,33,58,32
g21612,8,0,0,6,3,0
g21614,2124,65,1039,1932,734,744
g21615,93,6,157,454,55,63
g21620,32,19,27,31,13,36
g21621,3163,1840,1670,1224,1532,3754
g21622,577,294,712,613,451,320
g21623,41,30,63,66,48,55
g21629,322,158,198,73,92,315
g21628,1451,1174,2343,1499,1749,1793
g21630,80,310,445,418,298,543
g21631,9,17,14,7,6,10
g21632,331,102,219,238,101,172
g21633,339,219,339,287,248,395
g21634,610,529,416,382,438,446
g21635,11996,6832,13912,11588,9998,14029
g21636,1193,210,612,253,410,404
g21637,1328,344,466,271,348,347
g21640,1526,1204,2092,1209,1224,1162
g21641,645,561,1000,689,645,809
g21642,2793,1608,3810,1538,2241,3152
g21643,597,299,510,407,461,321
g21644,1500,1130,1668,1154,1308,1205
g21645,6459,3657,6554,6499,5026,5644
g21648,2579,2105,3219,4169,3141,3094
g21649,3937,2977,4126,4674,3595,3504
g21650,1698,1338,1874,1887,1559,1784
g21651,1687,1373,2066,1575,1547,1742
g21652,2081,1034,1690,2403,1498,1805
g21653,1937,981,1699,1322,1097,1846
g21654,54,11,24,21,21,33
g21655,319,184,292,225,257,380
g21656,1003,671,1468,1043,1371,836
g21657,1816,993,1964,1929,1538,2119
g21658,6025,3429,7472,7524,4643,5129
g21659,633,423,812,928,602,990
g21660,301,224,311,261,344,668
g21661,8336,5883,9399,8042,7903,11134
g21662,7861,5298,8324,9009,6793,10072
g21663,1516,741,1519,895,1048,1102
g21664,985,592,649,1183,617,850
g21671,52,39,23,19,22,50
g21672,174,163,215,268,182,223
g21670,0,0,25,11,6,0
g21665,303,190,254,287,174,359
g21666,699,686,766,665,560,911
g21667,2794,1567,1220,1947,832,1884
g21669,109,78,87,187,54,205
g21673,345,425,615,649,607,630
g21674,349,209,360,344,239,324
g21675,198,172,316,262,214,325
g21677,1837,1480,1573,1863,1162,1467
g21678,55,2,0,23,2,12
g21681,2421,903,1854,3271,1515,2019
g21682,23,8,19,2,12,4
g21683,2360,1676,2262,2590,1731,2108
g21684,52,25,29,82,28,58
g21685,593,484,629,651,520,646
g21688,6,27,0,12,8,8
