transcript_id,1BS,1DS,2BS,2DS,3BS,3DS
g21532.t1,0,0,0,0,0,0
g21533.t1,4,7,9,11,7,7
g21534.t1,405,70,319,489,304,528
g21543.t1,20,4,16,6,0,8
g21540.t1,91,26,138,176,66,54
g21546.t1,3,0,0,0,0,7
g21547.t1,7,0,0,0,0,1
g21553.t1,3,0,3,0,0,0
g21535.t1,734,266,675,715,583,660
g21536.t1,2548,1743,2215,2249,2291,2071
g21537.t1,1127,374,1064,941,627,813
g21538.t1,3153,2073,3000,3322,2132,3626
g21539.t1,1216,546,1599,1312,1245,1145
g21554.t1,10,11,2,11,0,13
g21555.t1,1061,501,1207,761,984,944
g21556.t1,165,124,215,279,222,234
g21557.t1,195,131,249,267,185,179
g21574.t1,1,2,17,50,3,15
g21577.t1,2,0,0,5,0,0
g21582.t1,3,0,2,0,0,0
g21581.t1,145,49,96,73,52,113
g21583.t1,232,72,203,511,189,240
g21588.t1,108,14,384,410,265,407
g21590.t1,8,1,9,12,11,19
g21591.t1,12,0,0,11,11,11
g21592.t1,143,0,261,439,252,332
g21593.t1,18,9,6,0,5,3
g21594.t1,4,0,0,0,0,2
g21559.t1,0,2,7,1,12,2
g21563.t1,0,0,0,2,0,0
g21566.t1,0,0,0,0,0,1
g21567.t1,0,0,0,0,0,0
g21568.t1,0,0,0,0,0,0
g21558.t1,12,46,14,4,14,13
g21560.t1,2,12,26,4,12,18
g21562.t1,11,1,1,2,4,3
g21564.t1,74,0,0,794,0,783
g21565.t1,9,0,0,12,0,0
g21573.t1,3203,3314,915,3913,595,483
g21595.t1,1411,778,1312,1743,1077,1844
g21602.t1,2,0,0,0,0,0
g21598.t1,0,0,2,0,0,0
g21600.t1,0,0,0,0,0,0
g21596.t1,2127,366,3132,1104,1820,2074
g21597.t1,2,0,0,0,0,0
g21601.t1,63,5,150,490,338,1296
g21607.t1,4,8,2,0,2,0
g21608.t1,84,9,8,6,10,41
g21603.t1,1883,987,2017,1974,1332,1799
g21605.t1,22,24,38,30,23,64
g21606.t1,63,32,27,93,42,123
g21609.t1,2657,1363,4559,2808,3446,4408
g21619.t1,74,32,84,33,58,32
g21612.t1,8,0,0,6,3,0
g21614.t1,2124,65,1039,1932,734,744
g21615.t1,93,6,157,454,55,63
g21620.t1,32,19,27,31,13,36
g21621.t1,3163,1840,1670,1224,1532,3754
g21622.t1,577,294,712,613,451,320
g21623.t1,41,30,63,66,48,55
g21629.t1,322,158,198,73,92,315
g21628.t1,1451,1174,2343,1499,1749,1793
g21630.t1,80,310,445,418,298,543
g21631.t1,9,17,14,7,6,10
g21632.t1,331,102,219,238,101,172
g21633.t1,339,219,339,287,248,395
g21634.t1,610,529,416,382,438,446
g21635.t1,11996,6832,13912,11588,9998,14029
g21636.t1,1193,210,612,253,410,404
g21637.t1,1328,344,466,271,348,347
g21640.t1,1526,1204,2092,1209,1224,1162
g21641.t1,645,561,1000,689,645,809
g21642.t1,2793,1608,3810,1538,2241,3152
g21643.t1,597,299,510,407,461,321
g21644.t1,1500,1130,1668,1154,1308,1205
g21645.t1,6459,3657,6554,6499,5026,5644
g21648.t1,2579,2105,3219,4169,3141,3094
g21649.t1,3937,2977,4126,4674,3595,3504
g21650.t1,1698,1338,1874,1887,1559,1784
g21651.t1,1687,1373,2066,1575,1547,1742
g21652.t1,2081,1034,1690,2403,1498,1805
g21653.t1,1937,981,1699,1322,1097,1846
g21654.t1,54,11,24,21,21,33
g21655.t1,319,184,292,225,257,380
g21656.t1,1003,671,1468,1043,1371,836
g21657.t1,1816,993,1964,1929,1538,2119
g21658.t1,6025,3429,7472,7524,4643,5129
g21659.t1,633,423,812,928,602,990
g21660.t1,301,224,311,261,344,668
g21661.t1,8336,5883,9399,8042,7903,11134
g21662.t1,7861,5298,8324,9009,6793,10072
g21663.t1,1516,741,1519,895,1048,1102
g21664.t1,985,592,649,1183,617,850
g21671.t1,52,39,23,19,22,50
g21672.t1,174,163,215,268,182,223
g21670.t1,0,0,25,11,6,0
g21665.t1,303,190,254,287,174,359
g21666.t1,699,686,766,665,560,911
g21667.t1,2794,1567,1220,1947,832,1884
g21669.t1,109,78,87,187,54,205
g21673.t1,345,425,615,649,607,630
g21674.t1,349,209,360,344,239,324
g21675.t1,198,172,316,262,214,325
g21677.t1,1837,1480,1573,1863,1162,1467
g21678.t1,55,2,0,23,2,12
g21681.t1,2421,903,1854,3271,1515,2019
g21682.t1,23,8,19,2,12,4
g21683.t1,2360,1676,2262,2590,1731,2108
g21684.t1,52,25,29,82,28,58
g21685.t1,593,484,629,651,520,646
g21688.t1,6,27,0,12,8,8
g21689.t1,350,184,277,208,240,361
g21686.t1,3051,1440,2408,2225,1602,1887
g21687.t1,34,13,5,46,22,27
g21690.t1,1309,768,995,1308,901,1147
g21691.t1,263,224,431,225,407,301
g21692.t1,694,196,19,515,15,643
g21693.t1,3412,1612,2241,4383,1781,2668
g21696.t1,5094,3235,5338,8246,5851,5603
g21697.t1,3712,3288,2947,4990,4062,4674
g21698.t1,601,310,319,639,472,504
g21699.t1,501,457,478,615,413,605
g21700.t1,4444,2562,4971,6941,3698,3884
g21701.t1,424,383,528,523,303,555
g21702.t1,1483,1131,1559,1533,1253,1419
g21703.t1,473,300,586,577,318,449
g21704.t1,2356,1478,3167,1870,2135,2700
g21705.t1,5554,2982,4330,5454,3212,3874
g21706.t1,289,118,295,367,184,350
g21708.t1,531,337,752,833,559,479
g21709.t1,166,96,326,156,197,224
g21710.t1,1123,463,760,1281,602,878
g21711.t1,10,0,0,7,0,4
g21713.t1,1469,986,1596,1221,1154,1514
g21714.t1,438,255,450,230,387,194
g21715.t1,25,10,28,17,11,13
g21717.t1,42,0,84,45,82,128
g21716.t1,1158,615,989,1244,772,1132
g21721.t1,1416,731,755,1275,811,1330
g21723.t1,617,389,314,580,367,384
g21728.t1,15,0,8,7,4,15
g21727.t1,3902,2173,3594,3464,2562,2665
g21731.t1,44,43,45,38,34,44
g21729.t1,17,0,6,7,5,28
g21730.t1,651,518,968,817,770,811
g21738.t1,5,12,0,5,0,11
g21735.t1,0,0,0,9,0,2
g21736.t1,0,0,24,0,0,0
g21732.t1,1806,1188,1412,1758,1162,1829
g21733.t1,1536,968,746,1636,1175,1607
g21734.t1,2,0,2,0,0,3
g21737.t1,1104,314,424,674,368,1347
g21739.t1,971,387,581,733,512,302
g21740.t1,82,53,205,89,189,83
g21745.t1,803,652,1024,1001,698,749
g21743.t1,8942,5162,7433,9551,6163,11001
g21744.t1,204,127,208,116,92,247
g21746.t1,176,257,156,384,107,508
g21747.t1,2080,1365,1044,2625,626,2949
g21750.t1,885,630,1307,879,735,1407
g21751.t1,1356,921,1722,1642,1001,2098
g21752.t1,2156,477,622,1194,493,807
g21753.t1,2072,1769,3443,2338,2348,2085
g21767.t1,1,0,0,0,0,0
g21777.t1,0,0,0,0,0,0
g21783.t1,5,0,0,0,0,0
g21795.t1,13,0,0,0,0,0
g21799.t1,5,2,4,9,4,6
g21815.t1,2,0,0,0,0,0
g21764.t1,0,2,0,3,0,0
g21754.t1,2942,1609,2929,2850,2062,2694
g21755.t1,143,81,114,152,71,108
g21756.t1,53,0,89,176,63,130
g21761.t1,579,163,495,1059,257,823
g21762.t1,194,166,179,80,129,539
g21763.t1,317,391,195,6,145,13
g21766.t1,5,0,3,0,0,4
g21823.t1,2,3,9,32,3,18
g21826.t1,9,0,4,3,7,3
g21828.t1,1,0,0,0,0,0
g21838.t1,0,18,17,25,0,19
g21842.t1,3,0,0,0,0,0
g21848.t1,5,0,0,0,0,0
g21857.t1,0,0,8,2,3,3
g21858.t1,0,3,0,0,0,0
g21861.t1,0,5,0,0,0,0
g21862.t1,0,3,0,0,0,0
g21863.t1,0,2,0,0,0,0
g21865.t1,0,0,0,0,2,0
g21866.t1,0,0,0,4,3,0
g21870.t1,0,0,0,4,4,3
g21873.t1,0,3,0,0,0,2
g21874.t1,0,0,0,0,2,0
g21875.t1,0,0,0,0,0,0
g21856.t1,12,15,55,21,31,20
g21864.t1,32,13,18,22,20,19
g21867.t1,23,0,2,23,9,19
g21868.t1,15,2,1,14,2,22
g21878.t1,2043,1668,2154,2023,1783,1551
g21879.t1,4193,562,1840,1654,1629,1535
g21880.t1,358,83,220,322,192,303
g21884.t1,0,0,0,0,0,0
g21885.t1,6,4,0,0,0,4
g21886.t1,8,7,26,30,21,24
g21881.t1,611,222,359,1361,395,388
g21887.t1,9,0,2,0,0,0
