Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21532	-	1	-	18387	18755	0.000000	0.000000	0.000000
g21533	-	1	-	22321	27293	0.208847	0.073768	0.092544
g21534	-	1	+	37447	52266	17.474669	6.172332	7.743334
g21543	-	1	+	156444	157268	1.727879	0.610314	0.765654
g21540	-	1	-	132854	139285	5.043155	1.781323	2.234711
g21546	-	1	+	183017	185772	0.138471	0.048910	0.061359
g21547	-	1	+	186182	186520	1.365782	0.482416	0.605202
g21553	-	1	-	307772	308143	0.446237	0.157618	0.197736
g21535	-	1	-	58322	62557	37.144737	13.120113	16.459490
g21536	-	1	+	64466	84798	64.209846	22.679943	28.452518
g21537	-	1	+	88347	97184	125.723961	44.407707	55.710510
g21538	-	1	-	100215	109729	483.560333	170.801224	214.274124
g21539	-	1	+	109867	128510	61.260082	21.638039	27.145426
g21554	-	1	-	323002	331686	1.880952	0.664382	0.833483
g21555	-	1	-	332282	348965	73.639816	26.010757	32.631104
g21556	-	1	+	349160	352265	41.420876	14.630513	18.354322
g21557	-	1	+	353765	356968	45.089508	15.926334	19.979958
g21574	-	1	+	560828	565350	0.016421	0.005800	0.007276
g21577	-	1	-	581411	581815	0.358025	0.126460	0.158647
g21581	-	1	+	607804	608337	20.237827	7.148324	8.967739
g21582	-	1	+	618737	619072	0.607143	0.214453	0.269036
g21583	-	1	+	622962	633865	41.128841	14.527363	18.224916
g21588	-	1	-	666567	668312	4.616838	1.630741	2.045803
g21590	-	1	-	702479	702886	1.443630	0.509913	0.639698
g21591	-	1	-	702941	704323	2.382768	0.841632	1.055847
g21592	-	1	-	707506	709230	6.202319	2.190758	2.748357
g21593	-	1	-	725115	725537	3.137116	1.108079	1.390112
g21594	-	1	-	725558	726310	0.298805	0.105543	0.132406
g21558	-	1	-	361628	375371	0.340493	0.120268	0.150878
g21559	-	1	+	396421	397020	0.000000	0.000000	0.000000
g21560	-	1	+	401783	403405	0.088108	0.031121	0.039042
g21562	-	1	+	420478	420918	1.762210	0.622441	0.780866
g21563	-	1	-	428004	428435	0.000000	0.000000	0.000000
g21564	-	1	+	435136	440238	3.003273	1.060804	1.330803
g21565	-	1	-	440659	443082	1.198459	0.423315	0.531058
g21566	-	1	-	443144	443635	0.000000	0.000000	0.000000
g21567	-	1	-	459012	459386	0.000000	0.000000	0.000000
g21568	-	1	+	465135	465452	0.000000	0.000000	0.000000
g21573	-	1	-	524298	537113	94.187454	33.268513	41.736126
g21595	-	1	-	743708	771725	43.047619	15.205107	19.075161
g21602	-	1	-	871442	871855	0.243961	0.086171	0.108103
g21596	-	1	-	778826	781380	101.432571	35.827602	44.946564
g21597	-	1	-	784627	785798	0.254902	0.090035	0.112952
g21598	-	1	-	785899	786207	0.000000	0.000000	0.000000
g21600	-	1	-	789380	790334	0.000000	0.000000	0.000000
g21601	-	1	-	820948	851855	0.296561	0.104750	0.131411
g21607	-	1	-	938963	941032	0.126570	0.044707	0.056085
g21608	-	1	+	945184	946113	6.703226	2.367686	2.970318
