Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21533	-	1	-	22321	27293	0.610928	0.214516	0.259807
g21534	-	1	+	37447	52266	21.083477	7.403055	8.966091
g21535	-	1	-	58322	62557	36.154854	12.695078	15.375437
g21536	-	1	+	64466	84798	56.677925	19.901356	24.103207
g21543	-	1	+	156444	157268	0.521818	0.183226	0.221912
g21540	-	1	-	132854	139285	9.794271	3.439069	4.165173
g21550	-	1	+	237955	238956	0.637725	0.223925	0.271203
g21537	-	1	+	88347	97184	104.970238	36.858269	44.640297
g21538	-	1	-	100215	109729	509.493866	178.898911	216.670517
g21539	-	1	+	109867	128510	66.081894	23.203379	28.102396
g21554	-	1	-	323002	331686	2.100529	0.737560	0.893284
g21555	-	1	-	332282	348965	52.832409	18.551077	22.467838
g21556	-	1	+	349160	352265	70.360268	24.705647	29.921843
g21557	-	1	+	353765	356968	61.666668	21.653057	26.224751
g21575	-	1	-	571837	572690	0.000000	0.000000	0.000000
g21577	-	1	-	581411	581815	0.812346	0.285240	0.345463
g21574	-	1	+	560828	565350	1.152701	0.404749	0.490205
g21581	-	1	+	607804	608337	10.147940	3.563252	4.315576
g21583	-	1	+	622962	633865	90.563828	31.799736	38.513733
g21590	-	1	-	702479	702886	2.200495	0.772661	0.935796
g21591	-	1	-	702941	704323	2.285311	0.802443	0.971866
g21588	-	1	-	666567	668312	17.590492	6.176561	7.480642
g21558	-	1	-	361628	375371	0.107399	0.037711	0.045673
g21559	-	1	+	396421	397020	0.041111	0.014435	0.017483
g21560	-	1	+	401783	403405	0.162046	0.056899	0.068913
g21562	-	1	+	420478	420918	0.271542	0.095347	0.115478
g21563	-	1	-	428004	428435	0.334491	0.117450	0.142248
g21564	-	1	+	435136	440238	32.461540	11.398241	13.804796
g21565	-	1	-	440659	443082	1.593449	0.559509	0.677640
g21566	-	1	-	443144	443635	0.000000	0.000000	0.000000
g21567	-	1	-	459012	459386	0.000000	0.000000	0.000000
g21568	-	1	+	465135	465452	0.000000	0.000000	0.000000
g21573	-	1	-	524298	537113	115.074707	40.406254	48.937382
g21592	-	1	-	707506	709230	19.061449	6.693059	8.106191
g21595	-	1	-	743708	771725	53.183964	18.674519	22.617342
g21596	-	1	-	778826	781380	52.668575	18.493551	22.398167
g21597	-	1	-	784627	785798	0.000000	0.000000	0.000000
g21598	-	1	-	785899	786207	0.000000	0.000000	0.000000
g21600	-	1	-	789380	790334	0.000000	0.000000	0.000000
g21601	-	1	-	820948	851855	2.327698	0.817326	0.989891
g21605	-	1	+	934505	935482	2.297750	0.806810	0.977155
g21606	-	1	-	935674	936417	9.371091	3.290477	3.985208
g21608	-	1	+	945184	946113	0.449462	0.157820	0.191141
g21603	-	1	+	875739	924977	63.815655	22.407633	27.138641
g21619	-	1	-	1101300	1101608	7.802589	2.739728	3.318177
g21620	-	1	+	1121855	1134134	0.818108	0.287263	0.347914
g21609	-	1	-	952903	989352	71.391998	25.067921	30.360605
